PUMFID,VERDATE,EMP_10_A,EMP_10_B,EMP_10_C,EMP_10_D,EMP_10_E,EMP_10_F,EMP_10_G,EMP_10_H,EMP_10_I,CIN_05_A,CIN_05_B,CIN_05_C,CIN_05_D,CIN_05_E,CIN_05_F,CIN_05_G,CIN_05_H,CIN_05_I,CIN_05_J,CIN_05_K,CIN_10A,CIN_10B,CIN_10C,EXP_05A,EXP_05B,EXP_05C,EXP_05D,EXP_05E,EXP_05F,EXP_05G,EXP_05H,LTC_05_G,LTC_10,HL_05,HL_10,HL_15,HL_20,HL_25_A,HL_25_B,HL_25_C,HL_25_D,HL_25_E,HL_25_F,HL_25_G,HL_25_H,HL_25_I,HL_25_J,HL_25_K,HL_30,DIS_STAT,PRURURB,PCSIZMIZ,PPROV,PVISMIN,PDISTYP1,PDISTYP2,PDISTYP3,PDISTYP4,PDISTYP5,PDISTYP6,PAGEGR,PDEM_10,PED_05,PEMP_15B,PFACT2,PLTC_05A,PLTC_05B,PLTC_05C,PLTC_05D,PLTC_05E,PLTC_05F,PEDU_01,PHHARR,PIIDFLAG,PLFS_BEF,PLFS_CUR
1444,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,6,4,4,4,4,4,4,4,4,2,2,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,59,2,2,2,2,2,1,1,9,1,2,1,1.0739,2,2,2,2,1,1,2,1,2,1,1
1445,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,6,6,3,3,2,1,3,1,3,1,2,1,4,5,4,5,2,2,2,1,2,1,2,1,2,2,2,2,1,9,7,11,2,2,2,1,2,1,1,11,2,1,6,0.5614,2,2,1,2,1,1,2,1,2,3,3
1446,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,6,6,5,2,5,1,4,2,2,2,2,1,3,1,3,3,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,35,2,2,2,1,2,2,1,17,1,2,6,2.2754,2,2,1,2,2,1,2,2,2,3,3
1447,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,6,4,4,4,4,1,4,4,4,2,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,35,1,2,2,1,1,2,2,12,1,1,6,1.3442,2,2,1,1,2,2,2,2,2,3,3
1448,27/08/2020,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,6,6,5,3,2,1,2,4,4,2,2,2,4,5,1,5,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,59,2,2,2,2,2,1,1,7,2,2,1,0.451,2,2,2,2,1,1,2,2,2,1,1
1449,27/08/2020,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,6,4,4,4,4,4,4,4,4,2,1,3,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,59,2,9,9,2,2,2,2,12,2,1,3,0.3991,9,9,2,2,2,2,2,3,1,1,1
1450,27/08/2020,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,6,4,4,4,4,4,4,4,2,2,1,2,4,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,48,2,2,2,1,2,1,2,13,1,2,6,2.5271,2,2,1,2,1,2,2,1,2,3,3
1451,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,6,5,5,5,5,5,5,5,5,2,2,4,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6,12,2,2,2,2,2,2,1,9,1,2,1,0.8724,2,2,2,2,2,1,2,2,2,1,1
1452,27/08/2020,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,6,6,4,4,4,4,4,4,4,4,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,1,5,35,2,2,2,1,2,2,1,17,2,1,3,1.5231,2,2,1,2,2,1,2,2,2,1,1
1453,27/08/2020,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,6,3,3,3,3,4,3,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,1,2,2,35,2,1,2,1,2,2,1,15,2,2,1,0.5119,1,2,1,2,2,1,2,1,2,1,1
